test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
3,64,1.901329,0.034538,55.05035033875731,1.9380481243133545,0.14699149131774902,13.184764008713325
3,64,1.831805,0.033142,55.27140788123831,1.8636760711669922,0.14036059379577637,13.277772776300926
3,64,1.834452,0.03314,55.35461677730839,1.8662784099578857,0.1418302059173584,13.158539803892893
3,64,1.899871,0.033656,56.44969693368196,1.9316456317901611,0.14134430885314941,13.66624271938007
3,64,1.912728,0.033159,57.683524834886455,1.9461102485656738,0.1395859718322754,13.942018836277427
3,64,2.184636,0.03491,62.579089086221714,2.222168207168579,0.19412016868591309,11.44738448462845
3,64,2.599768,0.035198,73.86124211602932,2.6411850452423096,0.17308759689331055,15.259239209787571
4,64,1.769513,0.036987,47.84148484602698,1.8030128479003906,0.1479802131652832,12.184148200182383
4,64,1.864068,0.037221,50.08108325945032,1.8974049091339111,0.14746308326721191,12.86698248195245
4,64,1.851354,0.036784,50.33041539799913,1.8856585025787354,0.14780855178833008,12.757438455111185
4,64,1.872426,0.037168,50.377367628067155,1.9052236080169678,0.14789199829101562,12.882533402976605
4,64,1.757876,0.034597,50.81007023730381,1.7908930778503418,0.15345430374145508,11.670530146014661
4,64,1.744046,0.034051,51.21864262429885,1.7769620418548584,0.15137672424316406,11.738674163674164
4,64,1.7281,0.033668,51.32767019127956,1.7613048553466797,0.15134596824645996,11.637606708349677
4,64,1.739649,0.033684,51.646152475952974,1.7726526260375977,0.15144610404968262,11.70484138341433
4,64,1.739428,0.033655,51.68408854553559,1.7718205451965332,0.1523604393005371,11.629137808545863
4,64,1.739864,0.033655,51.697043529936124,1.7718443870544434,0.14935016632080078,11.863692091567957
4,64,1.742288,0.033668,51.749079244386365,1.7744243144989014,0.14997339248657227,11.83159415866233
4,64,1.747283,0.033684,51.87278826742667,1.7788562774658203,0.15036773681640625,11.830039575828302
4,64,1.755493,0.033661,52.15213451769109,1.788208246231079,0.15076637268066406,11.860789740021506
4,64,1.76012,0.033673,52.27095892851839,1.793283224105835,0.14959025382995605,11.987968321414284
4,64,1.785197,0.034146,52.28129209863526,1.8176350593566895,0.15166473388671875,11.98455971125308
4,64,1.73729,0.033132,52.435409875648915,1.7690622806549072,0.14982175827026367,11.807779464606826
4,64,1.737907,0.033116,52.479375528445466,1.7720375061035156,0.1512899398803711,11.712857494058838
4,64,1.739285,0.033112,52.52733148103406,1.7737007141113281,0.1507265567779541,11.76767221402325
4,64,1.787448,0.034008,52.55963302752294,1.8197402954101562,0.1452178955078125,12.531102238100242
4,64,1.741382,0.033129,52.5636753297715,1.7734699249267578,0.15008163452148438,11.816701827516965
4,64,1.747318,0.033226,52.588876181303796,1.779569387435913,0.14990472793579102,11.871335960785437
4,64,1.771765,0.033661,52.63554261608389,1.8046329021453857,0.15122342109680176,11.933554267299618
4,64,1.74435,0.0331,52.699395770392755,1.7768592834472656,0.1492161750793457,11.907953561350977
4,64,1.749005,0.033172,52.7253406487399,1.782278299331665,0.14918017387390137,11.947152581000372
4,64,1.749423,0.03312,52.82074275362319,1.782829999923706,0.15078949928283691,11.82330340244475
4,64,1.738814,0.032912,52.83221925133691,1.7716081142425537,0.1514599323272705,11.69687644131856
4,64,1.738895,0.032908,52.841102467485115,1.7711787223815918,0.14954233169555664,11.843995625181353
4,64,1.77987,0.033658,52.881038683225384,1.8121511936187744,0.13889074325561523,13.047314393614283
4,64,1.743643,0.032934,52.943553774215104,1.775393009185791,0.14948534965515137,11.876702387768805
4,64,1.746674,0.03291,53.07426314190216,1.7819170951843262,0.14998364448547363,11.880742738965182
4,64,1.745224,0.032869,53.09635218595029,1.7777378559112549,0.15110087394714355,11.765238740664886
4,64,1.763312,0.033196,53.118207012893116,1.799272060394287,0.1434340476989746,12.544246566689827
4,64,1.770536,0.03317,53.377630388905644,1.8047311305999756,0.14841866493225098,12.159731603998631
4,64,1.772241,0.03315,53.461266968325795,1.8055312633514404,0.1500108242034912,12.03600655444849
4,64,1.771517,0.033123,53.48298765208465,1.804861307144165,0.14946913719177246,12.075143678848464
4,64,1.885645,0.035251,53.49195767495958,1.9196953773498535,0.15214943885803223,12.61717027521268
4,64,1.777677,0.033126,53.66410070639376,1.8111746311187744,0.14907288551330566,12.149591288062348
4,64,1.78586,0.033268,53.68101478898642,1.8187952041625977,0.1507422924041748,12.065593372336338
4,64,1.77911,0.033132,53.697633707593866,1.8117010593414307,0.14948368072509766,12.11972471211203
4,64,1.860733,0.034581,53.807958127295336,1.8952858448028564,0.1444106101989746,13.12428388877699
4,64,1.786421,0.033121,53.936203617040555,1.8184034824371338,0.14175105094909668,12.828148153131712
4,64,1.822447,0.033691,54.09299219376094,1.855959415435791,0.14315342903137207,12.96482681549359
4,64,1.783941,0.032904,54.21653902261123,1.8175668716430664,0.1502375602722168,12.097952524986432
4,64,1.882486,0.034608,54.394533055940826,1.9178400039672852,0.14974308013916016,12.80753676353516
4,64,1.896599,0.033281,56.98744028124155,1.9303052425384521,0.1434764862060547,13.453809007883228
4,64,1.948177,0.033651,57.8935841431161,1.9804680347442627,0.14188599586486816,13.958164247798317
4,64,1.906747,0.032888,57.976982486013135,1.9397590160369873,0.13955187797546387,13.899913381158779
4,64,1.922459,0.032897,58.43873301516855,1.9537155628204346,0.13956785202026367,13.998320777601258
4,64,2.165252,0.036791,58.85276290397109,2.2049593925476074,0.14779448509216309,14.919091136402132
4,64,2.779181,0.036097,76.99202149763138,2.825169086456299,0.1546638011932373,18.26651785783104
5,64,6.137105,0.131629,46.62426213068549,6.253015756607056,0.40217089653015137,15.54815579783819
5,64,5.990674,0.128106,46.76341467222457,6.105570316314697,0.40097951889038086,15.22663883983518
5,64,5.993328,0.12802,46.81556006873926,6.108154535293579,0.4039173126220703,15.122289499407373
5,64,6.011819,0.128039,46.95302993619132,6.134268760681152,0.3894519805908203,15.751027254695497
5,64,6.005397,0.127896,46.95531525614562,6.123136758804321,0.39963340759277344,15.321884112961346
5,64,6.039203,0.127149,47.49705463668609,6.161795616149902,0.39560365676879883,15.575679119040645
5,64,6.111791,0.127603,47.89692248614845,6.22847056388855,0.4035072326660156,15.43583375875663
5,64,5.989128,0.124968,47.925292874975995,6.104507923126221,0.39670586585998535,15.38799510789378
5,64,6.561767,0.133128,49.28915780301664,6.677032232284546,0.3893296718597412,17.150072842868227
5,64,6.274139,0.126924,49.432250795751784,6.3956193923950195,0.3831157684326172,16.693699188003762
5,64,6.374486,0.128921,49.44490036534001,6.499186038970947,0.3969297409057617,16.37364341644022
5,64,6.005384,0.118884,50.51465293899936,6.12169885635376,0.38303327560424805,15.982159374264732
